,State,Area_Name,pov_all,pov_under17,median_income,no_high_school,no_bachelor,unemployment,pop,n_killed,n_injured,victims_involved,suspects_identified,teen_participants
1007,KS,Wichita,12.0,18.0,"55,336",19.1,81.7,2.8,2157.4,263.0,686.0,1231.0,1510.0,192.0
1008,KS,Wilson,16.0,23.0,"43,134",13.0,84.69999999999999,6.7,8858.0,0.0,3.0,3.0,0.0,2.0
1010,KS,Wyandotte,19.0,24.0,"43,396",21.9,83.69999999999999,6.32,163227.2,0.0,1.0,1.0,3.0,0.0
1012,KY,Adair,26.0,37.0,"33,925",6.6,83.4,3.38,7191.8,1.0,3.0,3.0,3.0,0.0
1013,KY,Allen,19.0,28.0,"41,368",10.8,72.60000000000001,5.16,367746.6,5.0,3.0,8.0,7.0,0.0
1014,KY,Anderson,11.0,15.0,"57,448",9.1,80.7,4.86,7840.0,6.0,4.0,8.0,21.0,1.0
1015,KY,Ballard,16.0,24.0,"45,074",13.8,84.8,8.14,8151.8,5.0,5.0,9.0,10.0,0.0
1016,KY,Barren,22.0,30.0,"40,274",18.3,84.5,5.66,43418.2,2.0,11.0,6.0,14.0,0.0
1017,KY,Bath,25.0,34.0,"36,468",24.3,87.8,8.48,12189.4,5.0,0.0,9.0,7.0,0.0
1018,KY,Bell,39.0,47.0,"26,014",31.9,90.4,9.86,27469.4,20.0,11.0,33.0,52.0,3.0
1019,KY,Boone,8.0,10.0,"72,942",15.0,85.0,5.0200000000000005,37211.6,14.0,9.0,18.0,28.0,4.0
1020,KY,Bourbon,18.0,27.0,"46,231",9.5,78.2,5.24,14756.8,3.0,7.0,8.0,6.0,1.0
1021,KY,Boyd,18.0,26.0,"44,569",10.8,80.9,7.839999999999999,48485.8,3.0,1.0,6.0,10.0,1.0
1022,KY,Boyle,17.0,23.0,"44,834",13.8,76.9,6.34,29773.0,2.0,3.0,5.0,12.0,1.0
1024,KY,Breathitt,34.0,44.0,"26,659",28.6,87.8,10.66,13276.4,1.0,10.0,11.0,5.0,1.0
1025,KY,Breckinridge,17.0,26.0,"43,053",20.3,89.6,6.9,19990.8,5.0,5.0,9.0,8.0,0.0
1026,KY,Bullitt,10.0,14.0,"63,570",13.3,85.9,5.32,78622.4,16.0,3.0,15.0,23.0,0.0
1027,KY,Butler,18.0,27.0,"41,701",18.9,83.9,7.840000000000001,20126.0,3.0,0.0,3.0,2.0,0.0
1028,KY,Caldwell,20.0,34.0,"40,327",11.9,84.8,6.26,12746.8,1.0,6.0,7.0,7.0,3.0
1029,KY,Calloway,21.0,25.0,"39,438",11.6,71.5,5.42,38615.8,6.0,0.0,6.0,11.0,0.0
1030,KY,Campbell,13.0,17.0,"61,490",9.9,69.4,4.7,91803.8,18.0,15.0,33.0,50.0,10.0
1031,KY,Carlisle,15.0,25.0,"45,362",18.2,84.3,6.44,4890.2,2.0,8.0,10.0,6.0,0.0
1032,KY,Carroll,21.0,32.0,"47,726",16.2,82.3,4.6,27781.8,4.0,0.0,4.0,0.0,0.0
1033,KY,Carter,23.0,32.0,"37,406",20.5,86.8,10.680000000000001,27385.2,2.0,1.0,6.0,8.0,0.0
1034,KY,Casey,28.0,37.0,"29,417",26.6,87.5,6.159999999999999,15804.8,3.0,2.0,7.0,10.0,2.0
1035,KY,Christian,21.0,27.0,"41,081",12.0,84.9,7.159999999999999,33562.0,3.0,1.0,5.0,6.0,5.0
1036,KY,Clark,16.0,25.0,"48,474",13.5,75.3,6.08,22494.8,7.0,2.0,12.0,27.0,1.0
1037,KY,Clay,42.0,52.0,"24,901",25.4,89.0,6.36,13407.4,9.0,23.0,40.0,37.0,5.0
1038,KY,Clinton,25.0,37.0,"29,582",10.6,78.80000000000001,5.0200000000000005,37640.0,5.0,0.0,3.0,8.0,0.0
1039,KY,Crittenden,19.0,29.0,"40,656",18.2,82.6,6.12,49278.2,1.0,5.0,4.0,7.0,1.0
1040,KY,Cumberland,25.0,38.0,"30,771",11.2,85.3,5.54,10899.2,0.0,2.0,4.0,7.0,0.0
1041,KY,Daviess,16.0,20.0,"51,153",25.3,86.0,4.1,32776.6,5.0,12.0,18.0,26.0,1.0
1042,KY,Edmonson,22.0,31.0,"38,395",23.0,88.0,7.540000000000001,12063.0,0.0,0.0,0.0,2.0,0.0
1043,KY,Elliott,31.0,37.0,"33,335",24.2,91.3,11.419999999999998,7533.0,7.0,6.0,13.0,5.0,0.0
1044,KY,Estill,27.0,39.0,"33,839",24.3,90.80000000000001,7.0,14382.0,4.0,5.0,9.0,4.0,0.0
1045,KY,Fayette,18.0,22.0,"53,288",20.8,85.8,6.9,16657.0,3.0,8.0,11.0,12.0,6.0
1046,KY,Fleming,21.0,34.0,"38,860",23.2,87.39999999999999,7.06,14515.2,0.0,1.0,1.0,3.0,0.0
1047,KY,Floyd,30.0,38.0,"31,295",20.3,80.19999999999999,7.12,96471.2,8.0,9.0,15.0,16.0,0.0
1048,KY,Franklin,14.0,21.0,"52,395",24.3,87.6,6.36,31507.4,10.0,11.0,22.0,31.0,3.0
1049,KY,Fulton,30.0,47.0,"30,605",16.1,89.0,5.24,12092.0,3.0,2.0,3.0,5.0,0.0
1050,KY,Gallatin,15.0,24.0,"49,945",13.8,88.5,7.339999999999999,5226.0,2.0,0.0,2.0,1.0,0.0
1051,KY,Garrard,16.0,24.0,"46,967",20.0,84.5,5.86,17225.8,0.0,2.0,1.0,4.0,0.0
1052,KY,Grant,16.0,22.0,"49,312",10.0,80.2,4.74,18075.8,3.0,4.0,6.0,12.0,8.0
1053,KY,Graves,21.0,30.0,"41,705",18.3,83.2,6.8,37259.2,7.0,4.0,11.0,36.0,3.0
1054,KY,Grayson,22.0,32.0,"38,418",20.9,89.89999999999999,7.659999999999999,26129.2,6.0,4.0,7.0,12.0,0.0
1055,KY,Green,20.0,29.0,"36,246",23.0,89.7,5.78,11044.0,45.0,96.0,164.0,239.0,16.0
1056,KY,Greenup,17.0,24.0,"46,815",13.2,83.2,8.62,36011.6,6.0,5.0,11.0,10.0,2.0
1057,KY,Hancock,13.0,17.0,"56,823",27.1,89.10000000000001,10.36,8667.4,3.0,5.0,8.0,5.0,0.0
1058,KY,Hardin,14.0,19.0,"52,040",16.8,88.6,9.059999999999999,4161.2,5.0,5.0,7.0,33.0,0.0
1059,KY,Harlan,37.0,44.0,"25,240",28.6,87.9,13.160000000000002,27547.6,9.0,8.0,20.0,43.0,2.0
1060,KY,Harrison,15.0,23.0,"49,615",11.3,83.0,5.04,39450.4,4.0,1.0,10.0,11.0,0.0
1061,KY,Hart,22.0,30.0,"36,628",19.1,86.30000000000001,6.5,25534.6,4.0,5.0,7.0,10.0,0.0
1062,KY,Henderson,17.0,25.0,"46,936",11.1,86.7,6.24,6927.2,21.0,43.0,66.0,178.0,18.0
